滿	扑满 	[pu1 man3]	/Spardose, Sparschwein (S)/
改良運動	改良运动 	[gai3 liang2 yun4 dong4]	/Kampagne der Verbesserung (einer der 4 Slogans der 100-Tage-Reform) (Redew)/
改製	改制 	[gai3 zhi4]	/Änderung der Fertigung, Fertigungsänderung (S)/Änderung der Herstellung, Herstellungsänderung (S)/Änderung der Produktion, Produktionsänderung (S)/die Fertigung ändern (V)/die Herstellung ändern (V)/die Produktion ändern (V)/
改變位置	改变位置 	[gai3 bian4 wei4 zhi5]	/Verlegung (S)/
改變形像	改变形像 	[gai3 bian4 xing2 xiang4]	/Umgestaltung (S)/
改變	改变 	[gai3 bian4]	/ändern, transformieren, verändern, modifizieren (V)/
改變方向	改变方向 	[gai3 bian4 fang1 xiang4]	/neue Richtung (S)/Richtung ändern (V)/
改變本質	改变本质 	[gai3 bian4 ben3 zhi4]	/Denaturierung (S, Chem)/
改變論調	改变论调 	[gai3 bian4 lun4 diao4]	/Widerrufung (S)/
改造	改造 	[gai3 zao4]	/umgestalten, ummodeln, umkrempeln (V)/
改造計劃	改造计划 	[gai3 zao4 ji4 hua4]	/Sanierungsplan (S)/
改造項目	改造项目 	[gai3 zao4 xiang4 mu4]	/Modernisierungsprojekt (S)/
改進器	改进器 	[gai3 jin4 qi4]	/Verbesserer (S)/
改進意見	改进意见 	[gai3 jin4 yi4 jian4]	/Verbesserungsvorschlag (S)/
改進	改进 	[gai3 jin4]	/verbessern (V)/
改進者	改进者 	[gai3 jin4 zhe3]	/Reformator (S)/
改過	改过 	[gai3 guo4]	/seine Fehler korrigieren (V)/abändern, berichtigen (V)/befestigen, festlegen (V)/Abänderungsantrag (S)/
改選再選	改选再选 	[gai3 xuan3 zai4 xuan3]	/Neuwahlen (S, Pol)/
改錐	改锥 	[gai3 zhui1]	/Schraubendreher, Schraubenzieher (S, Tech)/
改革一攬子計劃	改革一揽子计划 	[gai3 ge2 yi1 lan3 zi3 ji4 hua4]	/Reformpaket (S)/
改革主義	改革主义 	[gai3 ge2 zhu3 yi4]	/freiheitlich (Adj)/
改革提案	改革提案 	[gai3 ge2 ti2 an4]	/Reformvorschlag (S)/
改革	改革 	[gai3 ge2]	/Reform (S)/reformieren (V)/
改革政策	改革政策 	[gai3 ge2 zheng4 ce4]	/Reformkurs (S)/
改革方向	改革方向 	[gai3 ge2 fang1 xiang4]	/Reformkurs (S)/
改革有關稅制	改革有关税制 	[gai3 ge2 you3 guan1 shui4 zhi4]	/Steuerreform (S)/
改革步伐	改革步伐 	[gai3 ge2 bu4 fa2]	/Reformschritt (S)/
改革步子	改革步子 	[gai3 ge2 bu4 zi5]	/Reformschritt (S)/
改革步驟	改革步骤 	[gai3 ge2 bu4 zhou4]	/Reformschritt (S)/
改革者	改革者 	[gai3 ge2 zhe3]	/Gleichrichter (S)/Kreuzfahrer (S)/Reformator (S)/Reformer (S)/Regenerator (S)/
改革議程	改革议程 	[gai3 ge2 yi4 cheng2]	/Reformagenda (S)/
改革路線	改革路线 	[gai3 ge2 lu4 xian4]	/Reformkurs (S)/
改革運動	改革运动 	[gai3 ge2 yun4 dong4]	/Reformbewegung (S)/
改革開放	改革开放 	[gai3 ge2 kai1 fang4]	/Reform- und Öffnungspolitik (Chinas) (S, Pol)/
改革開放政策	改革开放政策 	[gai3 ge2 kai1 fang4 zheng4 ce4]	/Politik der Reform und wirtschaftlichen Öffnung (S, Pol)/
改黨	改党 	[gai3 dang3]	/Konvertierung (S)/
攺	攺 	[yi3]	/Metall- od. Jadeornament (gegen böse Geister) (S)/
攻不破	攻不破 	[gong1 bu4 po4]	/unangreifbar (Adj)/
攻伐	攻伐 	[gong1 fa2]	/angreifen (V)/
攻克	攻克 	[gong1 ke4]	/einnehmen, ergreifen, besiegen (V)/
攻入敵船的隊員	攻入敌船的队员 	[gong1 ru4 di2 chuan2 de5 dui4 yuan2]	/Kostgänger (S)/
攻內螺紋	攻内螺纹 	[gong1 nei4 luo2 wen2]	/aussenken, Innengewinde schneiden (V)/
攻其不备	攻其不备 	[gong1 qi2 bu4 bei4]	/greife den Feind an, wenn er nicht damit rechnet (Sprichw, Mil)/jmdn. überrumpeln (V)/
攻勢	攻势 	[gong1 shi4]	/Offensive, militärischer Angriff (S, Mil)/
攻堅戰	攻坚战 	[gong1 jian1 zhan4]	/Erstürmung, Sturm (S)/
攻守	攻守 	[gong1 shou3]	/Angriff und Verteidigung (S, Mil)/
攻打	攻打 	[gong1 da3]	/attackieren, angreifen (V)/
攻擊側面	攻击侧面 	[gong1 ji1 ce4 mian4]	/flankieren (V)/
攻擊對象	攻击对象 	[gong1 ji1 dui4 xiang4]	/Zielscheibe (S)/
攻擊導彈	攻击导弹 	[gong1 ji2 dao3 dan4]	/Angriffsrakete (S, Mil)/
攻擊性	攻击性 	[gong1 ji1 xing4]	/offensiv (Adj)/
攻擊	攻击 	[gong1 ji2]	/Angriff, Attacke (S)/attackieren, angreifen, einen Angriff starten (V)/
攻擊機	攻击机 	[gong1 ji2 ji1]	/Schlachtflugzeug (S, Mil)/
攻擊直升機	攻击直升机 	[gong1 ji1 zhi2 sheng1 ji1]	/Angriffshubschrauber (S, Mil)/
攻擊者	攻击者 	[gong1 ji1 zhe3]	/Angreifer (S)/
攻擊者	攻击者 	[gong1 ji1 zhe5]	/Angreifer, Aggressoren (S)/
攻擊航空母艦	攻击航空母舰 	[gong1 ji2 hang2 kong1 mu3 jian4]	/Angriffsflugzeugträger (S, Mil)/
攻	攻 	[gong1]	/jmds. Beitrag (zu etw.), jmds. Verdienste (um etw.) (S)/Arbeit, Leistung (S)/Fertigkeit, Geschicklichkeit (S)/Leistung, Erfolg, Effekt, Errungenschaft (S)/
攻殼機動隊	攻壳机动队 	[gong1 ke2 ji1 dong4 dui4]	/Ghost in the Shell (Manga) (Film)/
攻破	攻破 	[gong1 po4]	/durchbrechen (V)/
攻絲	攻丝 	[gong1 si1]	/Gewindeschneiden (S)/
攻角	攻角 	[gong1 jiao3]	/Anstellwinkel, Anströmwinkel (S, Phys)/
攻讀學位者	攻读学位者 	[gong1 du2 xue2 wei4 zhe3]	/Aspirant (S)/
攻關	攻关 	[gong1 guan1]	/einen Durchbruch erzielen (V)/
攼	攼 	[han4]	/alte Variante von 捍[han4] (X)/
攽	攽 	[ban1]	/Variante von 頒|颁[ban1] (X)/
放上	放上 	[fang4 shang4]	/aufgesetzt (Adj)/aufsetzen (V)/
放下包袱	放下包袱 	[fang4 xia5 bao1 fu5]	/Nachlassen (S)/
放下	放下 	[fang4 xia5]	/ablegen (V)/weglegen (V)/
放下武器	放下武器 	[fang4 xia5 wu3 qi4]	/entwaffnen, Waffen niederlegen (V, Mil)/
放不開	放不开 	[fang4 bu4 kai1]	/nicht loslassen (V)/
放之四海而皆準	放之四海而皆准 	[fang4 zhi1 si4 hai3 er2 jie1 zhun3]	/für die ganze Welt gültig sein (allgemeingültig) (V)/
放之四海而皆準的普遍真理	放之四海而皆准的普遍真理 	[fang4 zhi1 si4 hai3 er2 jie1 zhun3 de5 pu3 bian4 zhen1 li3]	/allgemein gültige Wahrheit (S)/
放任自由	放任自由 	[fang4 ren4 zi4 you2]	/uneingeschränkte Freiheit erlauben (V, Rechtsw)/
放假	放假 	[fang4 jia4]	/Urlaub machen; Ferien haben (V); Bsp.: 放暑假 放暑假 -- Sommerferien haben; Sommerurlaub machen; Bsp.: 放寒假 放寒假 -- Winterferien haben; Winterurlaub machen; Bsp.: 放假三天 放假三天 -- drei Tage frei haben/
放假通知	放假通知 	[fang4 jia4 tong1 zhi1]	/Mitteilung über die Regelung der arbeitsfreien Zeit (S)/
放出去	放出去 	[fang4 chu1 qu4]	/freilassen (V)/
放出	放出 	[fang4 chu1]	/ablassen (V)/
放出水蒸氣	放出水蒸气 	[fang4 chu1 shui3 zheng1 qi4]	/dampfen (V)/
放出空氣	放出空气 	[fang4 chu1 kong1 qi4]	/Gerücht ausstreuen (V)/
放到一起	放到一起 	[fang4 dao4 yi4 qi3]	/zusammen (Adv)/zusammenstellen (V)/
放到下面	放到下面 	[fang4 dao4 xia4 mian4]	/unterlegen (V)/
放到中心	放到中心 	[fang4 dao4 zhong1 xin1]	/zentriert (Adj)/zentrieren (V)/
放到拍賣中	放到拍卖中 	[fang4 dao4 pai1 mai4 zhong1]	/versteigern (V)/
放到	放到 	[fang4 dao4]	/hingelegt, hingestellt, hingetan, abgestellt (Adj)/
放去	放去 	[fang4 qu4]	/ablassen (V)/
放回原位	放回原位 	[fang4 hui2 yuan2 wei4]	/wieder einsetzen (V)/wiedereinsetzen (V)/
放在一起	放在一起 	[fang4 zai4 yi4 qi3]	/zusammenstellen (V)/
放在‥.上	放在‥.上 	[fang4 zai4 ‥ . shang4]	/aufsetzen (V)/
放在地上	放在地上 	[fang4 zai4 di4 shang5]	/grundiert (Adj)/grundieren (V)/niederlegen (V)/
放在桌上	放在桌上 	[fang4 zai4 zhuo1 shang5]	/vorlegen (V)/
放在裡面	放在里面 	[fang4 zai4 li3 mian4]	/unterziehen (V)/
放大倍數	放大倍数 	[fang4 da4 bei4 shu4]	/Vergrößerung (S)/
放大器	放大器 	[fang4 da4 qi4]	/Verstärker (S, Sprachw)/
放大	放大 	[fang4 dai4]	/vergrößern (V)/
放大範圍	放大范围 	[fang4 da4 fan4 wei2]	/Abbildungsbereich, Vergrößerungsbereich (S, Tech)/
放大線釣大魚	放大线钓大鱼 	[fang4 da4 xian4 diao4 da4 yu2]	/eine Angelschnur zum Fischfang auswerfen (Redew)/geduldig auf die große Chance warten (Redew)/
放大鏡	放大镜 	[fang4 da4 jing4]	/Lupe, Brennglas (S)/
放學回家	放学回家 	[fang4 xue2 hui2 jia1]	/nach der Schule nach Hause gehen (V)/
放學	放学 	[fang4 xue2]	/Schulschluss haben (V), Unterrichtsschluss (S)/
放射免疫測定	放射免疫测定 	[fang4 she4 mian3 yi4 ce4 ding4]	/Radioimmunoassay, RIA (S, Bio)/
放射化學	放射化学 	[fang4 she4 hua4 xue2]	/Kernchemie (S, Chem)/
放射學	放射学 	[fang4 she4 xue2]	/Radiologie (S, Med)/
放射性元素	放射性元素 	[fang4 she4 xing4 yuan2 su4]	/radioaktives Element (S, Chem)/
放射性同位素	放射性同位素 	[fang4 she4 xing4 tong2 wei4 su4]	/Radionuklid (S, Chem)/
放射性垃圾	放射性垃圾 	[fang4 she4 xing4 la1 ji1]	/Füllstandsabfall (S, Phys)/
放射性廢物	放射性废物 	[fang4 she4 xing4 fei4 wu4]	/radioaktive Abfälle (S)/
放射性	放射性 	[fang4 she4 xing4]	/Radioaktivität (S, Phys), radioaktiv (Adj)/radioaktiv belastet (Adj, Ecol)/
放射性核素	放射性核素 	[fang4 she4 xing4 he2 su4]	/Radionuklid (S, Phys)/
放射性活度	放射性活度 	[fang4 she4 xing4 huo2 du4]	/Radioaktivität (S, Phys)/
放射性物質污染	放射性物质污染 	[fang4 she4 xing4 wu4 zhi4 wu1 ran3]	/Kontamination (S)/
放射性碳定年法	放射性碳定年法 	[fang4 she4 xing4 tan4 ding4 nian2 fa3]	/Radiokarbonmethode (S, Tech)/
放射性衰變	放射性衰变 	[fang4 she4 xing4 shuai1 bian4]	/Kernzerfall (S, Phys)/
放射	放射 	[fang4 she4]	/emittieren (V)/
放射治療	放射治疗 	[fang4 she4 zhi4 liao2]	/Strahlenbehandlung (S)/
放射物理學	放射物理学 	[fang4 she4 wu4 li3 xue2]	/Radiophysik (S, Phys)/
放射線療法	放射线疗法 	[fang4 she4 xian4 liao2 fa3]	/Strahlenbehandlung (S)/Strahlentherapie (S, Med)/
放射計	放射计 	[fang4 she4 ji4]	/Strahlungsmesser (S)/
放小球	放小球 	[fang4 xiao3 qiu2]	/Stop (Tennis) (S, Sport)/
放屁	放屁 	[fang4 pi4]	/Furz, Pups (S), furzen, pupsen (V)/(vulg) Mist, Quatsch (S)/
放心	放心 	[fang4 xin1]	/sich beruhigen; erleichtert sein (V); Bsp.: 請放心吧，飛機準時起飛。 请放心吧，飞机准时起飞。 -- Bitte seien Sie versichert, das Flugzeug wird pünktlich starten./
放慢	放慢 	[fang4 man4]	/schleppend (Adj)/entschleunigen (V)/
放手	放手 	[fang4 shou3]	/loslassen (V)/
放掉	放掉 	[fang4 diao4]	/abzapfen (V)/
放	放 	[fang4]	/loslassen, freilassen, gehen lassen (V); Bsp.: 把俘虜放了 把俘虏放了 -- Gefangene freilassen/beenden, Schluss machen (V); Bsp.: 放工 放工 -- die Arbeit beenden; Feierabend machen/abgeben, abfeuern (V); Bsp.: 放砲 放炮 -- eine Kanone abfeuern; Bsp.: 放槍 放枪 -- einen Schuss abgeben/abgeben, aussenden (V); Bsp.: 放光 放光 -- Licht ausstrahlen; Bsp.: 放風箏 放风筝 -- einen Drachen steigen lassen/auf die Weide führen (V); Bsp.: 放牛 放牛 -- Rinder weiden lassen/in Brand stecken, anzünden (V); Bsp.: 放火 放火 -- in Brand stecken; anzünden/gewähren, aushändigen (V); Bsp.: 發放 发放 -- gewähren; aushändigen/Geld verleihen (V); Bsp.: 放債 放债 -- Geld gegen Zinsen verleihen/blühen (V); Bsp.: 開放 开放 -- blühen; erblühen/vergrößern (V)/setzen, stellen, legen (V); Bsp.: 把杯子放在桌子上 把杯子放在桌子上 -- eine Tassen auf den Tisch stellen/hineingeben, hineingießen (V); Bsp.: 菜里多放點鹽。 菜里多放点盐。 -- Gib etw. mehr Salz ins Essen./fällen (V); Bsp.: 放樹 放树 -- Bäume fällen/zeigen, vorführen (V); Bsp.: 放電影 放电影 -- einen Film zeigen/sich anpassen (V); Bsp.: 放老實點兒！ 放老实点儿！ -- Benimm dich!/
放放水	放放水 	[fang4 fang4 shui3]	/austreten; pinkeln; pissen (V, vulg)/
放映幻燈片	放映幻灯片 	[fang4 ying4 huan4 deng1 pian4]	/Diashow (S)/
放映	放映 	[fang4 ying4]	/vorführen (z.B. Film) (V)/Vorführung (S)/
放映期	放映期 	[fang4 ying4 qi1]	/Spielzeit (S)/
放暑假	放暑假 	[fang4 shu3 jia3]	/Sommerurlaub machen (V)/
放棄公職	放弃公职 	[fang4 qi4 gong1 zhi2]	/Amtsverzicht (S)/
放棄	放弃 	[fang4 qi4]	/aufgeben (V)/
放棄武力	放弃武力 	[fang4 qi4 wu3 li4]	/Gewaltverzicht (S, Pol)/
放款人	放款人 	[fang4 kuan3 ren2]	/Kreditgeber (S)/
放款者	放款者 	[fang4 kuan3 zhe3]	/Geldverleiher, Darlehensgeber (S)/
放款限額	放款限额 	[fang4 kuan3 xian4 e2]	/Kreditlinie (S)/
放氣	放气 	[fang4 qi4]	/Entleerung (S)/
放氣活門	放气活门 	[fang4 qi4 huo2 men2]	/Abblasventil (S)/
放油螺塞	放油螺塞 	[fang4 you2 luo2 sai1]	/Ölablassschraube (S)/
放泄閥	放泄阀 	[fang4 xie4 fa2]	/Ablassventil (S)/
放浪的女子	放浪的女子 	[fang4 lang4 de5 nü3 zi3]	/verführerisches Mädchen (S)/
放浪的	放浪的 	[fang4 lang4 de5]	/verführerisch (Adj)/
放火人	放火人 	[fang4 huo3 ren2]	/Brandstifter (S)/
放火狂	放火狂 	[fang4 huo3 kuang2]	/Pyromane (S)/
放炮竹	放炮竹 	[fang4 pao4 zhu2]	/Feuerwerk abfeuern (V)/
放熱	放热 	[fang4 re4]	/exotherm, wärmeabgebend (Adj, Phys)/
放爆電機	放爆电机 	[fang4 bao4 dian4 ji1]	/explosionsgeschützter Motor (S)/
放牛娃	放牛娃 	[fang4 niu2 wa2]	/Rinderhirtenknabe, junger Kuhhirt (S)/
放療	放疗 	[fang4 liao2]	/Strahlenbehandlung, Strahlentherapie (S, Med)/
放眼世界	放眼世界 	[fang4 yan3 shi4 jie4]	/großen Weitblick haben (V)/die ganze Welt im Auge behalten (Redew)/
放空	放空 	[fang4 kong1]	/ausgießen (V, Math)/
放空炮	放空炮 	[fang4 kong1 pao4]	/Große Reden schwingen und keine Taten folgen lassen (Int, Sprichw)/Grosse Fresse, nichts dahinter (Int, Sprichw)/
放線	放线 	[fang4 xian4]	/abtragen (V)/
放線菌門	放线菌门 	[fang4 xian4 jun1 men2]	/Aktinomyzet, Aktinomyzeten (S, Bio)/
放緩	放缓 	[fang4 huan3]	/verlangsamen (V)/
放纜工具	放缆工具 	[fang4 lan3 gong1 ju4]	/Kabelbaum (S)/
放置在下級	放置在下级 	[fang4 zhi4 zai4 xia4 ji2]	/Abhängigkeit (S)/
放置好	放置好 	[fang4 zhi4 hao3]	/stellen (V)/gestellt (Adj)/
放置腳跟的部份	放置脚跟的部份 	[fang4 zhi4 jiao3 gen1 de5 bu4 fen5]	/Krücke (S)/
放羊	放羊 	[fang4 yang2]	/Schafe hüten (V)/
放肆無禮	放肆无礼 	[fang4 si4 wu2 li3]	/vorlaut (Adj)/
放蕩主義	放荡主义 	[fang4 dang4 zhu3 yi4]	/Libertine, Libertinismus (S, Philos)//
放蕩子	放荡子 	[fang4 dang4 zi3]	/Wüstling (S)/
放蕩	放荡 	[fang4 dang4]	/sich gehen lassen (V)/
放蕩樂團	放荡乐团 	[fang4 dang4 yue4 tuan2]	/The Libertines (Musikgruppe) (Eig, Mus)/
放蕩的人	放荡的人 	[fang4 dang4 de5 ren2]	/Libertin (S)/
放蕩者	放荡者 	[fang4 dang4 zhe3]	/Wüstling (S)/
放行	放行 	[fang4 xing2]	/durchlassen (V)/
放詛咒於	放诅咒于 	[fang4 zu3 zhou4 yu2]	/behexen (V)/
放象	放象 	[fang4 xiang4]	/abspielen (Video) (V)/
放走	放走 	[fang4 zou3]	/abwenden (V)/
放逐	放逐 	[fang4 zhu2]	/verbannen (V)/
放進	放进 	[fang4 jin4]	/hereinlassen (V)/
放過去	放过去 	[fang4 guo4 qu5]	/weitergeben (V)/
放過	放过 	[fang4 guo4]	/freilassen, freigeben (V)/in Ruhe lassen (V)/
放錨處	放锚处 	[fang4 mao2 chu4]	/Ankerplatz (S)/
放錯地方	放错地方 	[fang4 cuo4 di4 fang5]	/verlegen (V)/
放開	放开 	[fang4 kai1]	/freigeben, freilassen, freisetzen (V)/
放開貿易	放开贸易 	[fang4 kai1 mao4 yi4]	/alle Handelsbeschränkungen aufheben (V, Wirtsch)/
放電器	放电器 	[fang4 dian4 qi4]	/Entladegerät (S, Tech)/
放電	放电 	[fang4 dian4]	/entladen (V, Tech)/
放鞭炮	放鞭炮 	[fang4 bian1 pao4]	/Feuerwerkskörper zünden (V)/Knaller zünden (V)/
放音樂	放音乐 	[fang4 yin1 yue4]	/Musik auflegen (V, Mus)/
放頂	放顶 	[fang4 ding3]	/Bruchschlag, Bruchschlagen (S)/
放養蜜蜂	放养蜜蜂 	[fang4 yang3 mi4 feng1]	/Bienen züchten (V)/
放高利貸者	放高利贷者 	[fang4 gao1 li4 dai4 zhe3]	/Halsabschneider (S)/
放鬆傳動鏈	放松传动链 	[fang4 song1 chuan2 dong4 lian4]	/entspannen (Antriebskette) (V)/
放鬆	放松 	[fang4 song1]	/erholen; entspannen; lockern (V); Bsp.: 放鬆肌肉 放松肌肉 -- die Muskeln entspannen; Bsp.: 放鬆警惕 放松警惕 -- in der Wachsamkeit nachlassen/
放鬆訓練	放松训练 	[fang4 song1 xun4 lian4]	/Entspannungstraining (S, Psych)/
放鬆銀根	放松银根 	[fang4 song1 yin2 gen1]	/lockere Geldmarktpolitik (S, Pol, Wirtsch)/
放鷹捕獵	放鹰捕猎 	[fang4 ying1 bu3 lie4]	/Falkenjagd (S)/
放鷹者	放鹰者 	[fang4 ying1 zhe3]	/Falkner (S)/
放鹽	放盐 	[fang4 yan2]	/salzen (V)/
放龍骨	放龙骨 	[fang4 long2 gu3]	/auf Kiel legen (V), Kiellegung (S)/
政事	政事 	[zheng4 shi4]	/Regierungsgeschäfte (S, Pol)/Staatsangelegenheiten (S, Pol)/
政令	政令 	[zheng4 ling4]	/Regierungsverordnung (S)/
政企職責不分	政企职责不分 	[zheng4 qi4 zhi2 ze2 bu4 fen1]	/keine Trennung der Befugnisse von Staat und Unternehmen (S)/
政務委員	政务委员 	[zheng4 wu4 wei3 yuan2]	/Minister ohne Geschäftsbereich (S, Pol)/
政務	政务 	[zheng4 wu4]	/Regierungsangelegenheiten, politische Angelegenheiten (S, Pol)/
政區	政区 	[zheng4 qu1]	/Bezirk, Staatsgebiet (S, Geo)/
政協	政协 	[zheng4 xie2]	/die Politische Konsultativkonferenz des Chinesischen Volks (Org, Pol)/Politisches Konsultativkomitee des Chinesischen Volkes, CPPCC (Chinese People's Political Consultative Committee) (Org, Pol)/
政和	政和 	[zheng4 he2]	/Zhenghe (Ort in Fujian) (Eig, Geo)/
政和縣	政和县 	[zheng4 he2 xian4]	/Zhenghe (Kreis in Fujian) (Geo)/
政壇	政坛 	[zheng4 tan2]	/politischer Kreis (S)/
政大	政大 	[zheng4 da4]	/National Chengchi University (Universität auf Taiwan) (Edu)/
政委	政委 	[zheng4 wei3]	/Politkommissar (S, Pol)/Kommissar (S)/
政客	政客 	[zheng4 ke4]	/Politikaster, Biertischpolitiker (S, Pol)/
政局	政局 	[zheng4 ju2]	/politische Situation (S)/
政府債券	政府债券 	[zheng4 fu3 zhai4 quan4]	/Staatsanleihe (S)/
政府僱員	政府雇员 	[zheng4 fu3 gu4 yuan2]	/Angestellter im öffentlichen Dienst (S)/
政府全國抵押協會	政府全国抵押协会 	[zheng4 fu3 quan2 guo2 di3 ya1 xie2 hui4]	/Ginnie Mae, Government National Mortgage Association (GNMA) (Org)/
政府公債	政府公债 	[zheng4 fu3 gong1 zhai4]	/Staatsanleihe (S)/
政府公務	政府公务 	[zheng4 fu3 gong1 wu4]	/Zivildienst (S)/
政府印刷廠	政府印刷厂 	[zheng4 fu3 yin4 shua4 chang3]	/Staatsdruckerei (S)/
政府危機	政府危机 	[zheng4 fu3 wei1 ji1]	/Regierungskrise (S, Pol)/
政府參與	政府参与 	[zheng4 fu3 can1 yu3]	/Regierungsbeteiligung (S, Pol)/
政府各部	政府各部 	[zheng4 fu3 ge4 bu4]	/Ministerien (S, Pol)/
政府圈子	政府圈子 	[zheng4 fu3 quan1 zi5]	/Regierungskreis (S)/
政府國家抵押協會	政府国家抵押协会 	[zheng4 fu3 guo2 jia1 di3 ya1 xie2 hui4]	/Ginnie Mae (Org)/
政府基金	政府基金 	[zheng4 fu3 ji1 jin1]	/staatliche Mittel (S, Pol)/
政府大樓	政府大楼 	[zheng4 fu3 da4 lou2]	/Regierungsgebäude (S)/
政府失靈	政府失灵 	[zheng4 fu3 shi1 ling2]	/Staatsversagen (S, Wirtsch)/
政府官員	政府官员 	[zheng4 fu3 guan1 yuan2]	/Regierungsbeamte (S)/
政府宮邸	政府宫邸 	[zheng4 fu3 gong1 di3]	/Regierungspalast (S, Pol)/
政府成員	政府成员 	[zheng4 fu3 cheng2 yuan2]	/Regierungsmitglied (S)/
政府所在地	政府所在地 	[zheng4 fu3 suo3 zai4 di4]	/Regierungssitz (S, Pol)/
政府所在建築	政府所在建筑 	[zheng4 fu3 suo3 zai4 jian4 zhu4]	/Regierungsgebäude (S)/
政府採購契約	政府采购契约 	[zheng4 fu3 cai3 gou4 qi4 yue1]	/öffentliche Vergabe (-verträge) (S)/
政府撥款	政府拨款 	[zheng4 fu3 bo1 kuan3]	/Mittelzuweisungen der Regierung (S)/
政府收入	政府收入 	[zheng4 fu3 shou1 ru4]	/Staatseinkünfte (S)/
政府	政府 	[zheng4 fu3]	/Regierung, Staat, Exekutive (S, Pol)/
政府政策	政府政策 	[zheng4 fu3 zheng4 ce4]	/Regierungspolitik (S)/
政府文件	政府文件 	[zheng4 fu3 wen2 jian4]	/Regierungsdokument (S)/
政府更迭	政府更迭 	[zheng4 fu3 geng4 die2]	/Regierungswechsel (S, Pol)/
政府服務	政府服务 	[zheng4 fu3 fu2 wu4]	/Zivildienst (S)/
政府機構	政府机构 	[zheng4 fu3 ji1 gou4]	/Behörde, Regierungsapparat (S)/
政府機關	政府机关 	[zheng4 fu3 ji1 guan1]	/Regierungsorgane (S)/
政府法律顧問	政府法律顾问 	[zheng4 fu3 fa3 lü4 gu4 wen4]	/Lord Advocate (S, Gesch, Rechtsw)/
政府津貼	政府津贴 	[zheng4 fu3 jin1 tie1]	/Staatszuschuss (S, Pol)/
政府派別	政府派别 	[zheng4 fu3 pai4 bie2]	/Regierungsfraktion (S)/
政府發言人	政府发言人 	[zheng4 fu3 fa1 yan2 ren2]	/Regierungssprecher (S)/
政府的組成	政府的组成 	[zheng4 fu3 de5 zu3 cheng2]	/Regierungsbildung (S, Pol)/
政府的補助金	政府的补助金 	[zheng4 fu3 de5 bu3 zhu4 jin1]	/staatliche Fördermittel (S, Pol)/
政府聲明	政府声明 	[zheng4 fu3 sheng1 ming2]	/Regierungserklärung (S, Pol)/
政府職能	政府职能 	[zheng4 fu3 zhi2 neng2]	/Staatsdienst (S)/
政府補貼	政府补贴 	[zheng4 fu3 bu3 tie1]	/staatliche Subvention, staatlicher Zuschuss (S, Pol)/
政府論	政府论 	[zheng4 fu3 lun4]	/Zwei Abhandlungen über die Regierung (Pol)/
政府財政	政府财政 	[zheng4 fu3 cai2 zheng4]	/Staatsfinanzen (S)/
政府貸款	政府贷款 	[zheng4 fu3 dai4 kuan3]	/Staatsanleihen (S, Pol)/
政府資助	政府资助 	[zheng4 fu3 zi1 zhu4]	/staatliche Fördermittel (S, Pol)/
政府轉任	政府转任 	[zheng4 fu3 zhuan3 ren4]	/Regierungswechsel (S, Pol)/
政府部委	政府部委 	[zheng4 fu3 bu4 wei3]	/Ministerien (S, Pol)/
政府部長	政府部长 	[zheng4 fu3 bu4 zhang2]	/(Regierungs-)Minister (S, Pol)/
政府部門	政府部门 	[zheng4 fu3 bu4 men2]	/Amtsdauer (S)/Amtssprache (S)/Behörde (S)/Ministerium (S)/Regierungsbüro (S)/
政府開發援助	政府开发援助 	[zheng4 fu3 kai1 fa1 yuan2 zhu4]	/Öffentliche Entwicklungszusammenarbeit (Official Development Assistance, ODA) (S, Pol)/
政府間勞務基金	政府间劳务基金 	[zheng4 fu3 jian1 lao2 wu4 ji1 jin1]	/zwischenstastlicher Arbeitsfond (S)/
政府間撥款	政府间拨款 	[zheng4 fu3 jian1 bo1 kuan3]	/zwischen (P)/
政府間	政府间 	[zheng4 fu3 jian1]	/zwischenstaatlich (Adj)/
政府間氣候變化專業委員會	政府间气候变化专业委员会 	[zheng4 fu3 jian1 qi4 hou4 bian4 hua4 zhuan1 ye4 wei3 yuan2 hui4]	/Weltklimarat der Vereinten Nationen (S)/Intergovernmental Panel on Climate Change, IPCC (Org)/
政府間氣候變化專門委員會	政府间气候变化专门委员会 	[zheng4 fu3 jian1 qi4 hou4 bian4 hua4 zhuan1 men2 wei3 yuan2 hui4]	/Intergovernmental Panel on Climate Change (Org)/
政府間海洋學委員會	政府间海洋学委员会 	[zheng4 fu3 jian1 hai3 yang2 xue2 wei3 yuan2 hui4]	/Intergovernmental Oceanographic Commission (Org)/
政府首腦	政府首脑 	[zheng4 fu3 shou3 nao3]	/Regierungschef (S, Pol)/
政改	政改 	[zheng4 gai3]	/politische Reformen (S, Pol)/
政	政 	[zheng4]	/best. staatl. Verwaltungsangelegenheit (S, Pol)/Politik, politische Angelegenheit (S, Pol)/politisch (Adj, Pol)/Zheng (Eig, Fam)/Angelegenheit einer Familie (S)/Angelegenheit einer Gemeinschaft (hist.) (S)/
